unidade;mes;ano;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HJXXIII;Junho;2023;VIII;> 34;85;1;1;0,85
HJXXIII;Julho;2023;I;0 a 4;4;8;0;0,32
HJXXIII;Julho;2023;II;5 a 9;8;20;0;1,6
HJXXIII;Julho;2023;III;10 a 14;15;31;7;4,65
HJXXIII;Julho;2023;IV;15 a 19;25;27;2;6,75
HJXXIII;Julho;2023;V;20 a 24;40;16;3;6,4
HJXXIII;Julho;2023;VI;25 a 29;55;13;4;7,15
HJXXIII;Julho;2023;VII;30 a 34;75;2;2;1,5
HJXXIII;Julho;2023;VIII;> 34;85;1;1;0,85
HJXXIII;Agosto;2023;I;0 a 4;4;4;0;0,16
HJXXIII;Agosto;2023;II;5 a 9;8;16;1;1,28
HJXXIII;Agosto;2023;III;10 a 14;15;16;1;2,4
HJXXIII;Agosto;2023;IV;15 a 19;25;32;2;8
HJXXIII;Agosto;2023;V;20 a 24;40;14;4;5,6
HJXXIII;Agosto;2023;VI;25 a 29;55;2;2;1,1
HJXXIII;Agosto;2023;VII;30 a 34;75;2;2;1,5
HJXXIII;Agosto;2023;VIII;> 34;85;0;0;0
HJXXIII;Setembro;2023;I;0 a 4;4;19;0;0,76
HJXXIII;Setembro;2023;II;5 a 9;8;18;2;1,44
HJXXIII;Setembro;2023;III;10 a 14;15;29;1;4,35
HJXXIII;Setembro;2023;IV;15 a 19;25;46;12;11,5
HJXXIII;Setembro;2023;V;20 a 24;40;15;3;6
HJXXIII;Setembro;2023;VI;25 a 29;55;7;4;3,85
HJXXIII;Setembro;2023;VII;30 a 34;75;4;4;3
HJXXIII;Setembro;2023;VIII;> 34;85;7;7;5,95
HRAD;Janeiro;2023;I;0 a 4;4;0;0;0
HRAD;Janeiro;2023;II;5 a 9;8;0;0;0
HRAD;Janeiro;2023;III;10 a 14;15;5;0;0,75
HRAD;Janeiro;2023;IV;15 a 19;25;5;1;1,25
HRAD;Janeiro;2023;V;20 a 24;40;5;0;2
HRAD;Janeiro;2023;VI;25 a 29;55;3;3;1,65
HRAD;Janeiro;2023;VII;30 a 34;75;0;0;0
HRAD;Janeiro;2023;VIII;> 34;85;1;1;0,85
HRAD;Fevereiro;2023;I;0 a 4;4;1;0;0,04
HRAD;Fevereiro;2023;II;5 a 9;8;0;0;0
HRAD;Fevereiro;2023;III;10 a 14;15;2;0;0,3
HRAD;Fevereiro;2023;IV;15 a 19;25;4;2;1
HRAD;Fevereiro;2023;V;20 a 24;40;5;0;2
HRAD;Fevereiro;2023;VI;25 a 29;55;2;1;1,1
HRAD;Fevereiro;2023;VII;30 a 34;75;1;1;0,75
HRAD;Fevereiro;2023;VIII;> 34;85;0;0;0
HRAD;Março;2023;I;0 a 4;4;0;0;0
HRAD;Março;2023;II;5 a 9;8;0;0;0
HRAD;Março;2023;III;10 a 14;15;0;0;0
HRAD;Março;2023;IV;15 a 19;25;9;0;2,25
HRAD;Março;2023;V;20 a 24;40;9;1;3,6
HRAD;Março;2023;VI;25 a 29;55;4;2;2,2
HRAD;Março;2023;VII;30 a 34;75;1;1;0,75
HRAD;Março;2023;VIII;> 34;85;0;0;0
HRAD;Abril;2023;I;0 a 4;4;0;0;0
HRAD;Abril;2023;II;5 a 9;8;0;0;0
HRAD;Abril;2023;III;10 a 14;15;10;0;1,5
HRAD;Abril;2023;IV;15 a 19;25;3;2;0,75
HRAD;Abril;2023;V;20 a 24;40;5;3;2
HRAD;Abril;2023;VI;25 a 29;55;2;2;1,1
HRAD;Abril;2023;VII;30 a 34;75;0;0;0
HRAD;Abril;2023;VIII;> 34;85;0;0;0
HRAD;Maio;2023;I;0 a 4;4;0;0;0
HRAD;Maio;2023;II;5 a 9;8;1;0;0,08
HRAD;Maio;2023;III;10 a 14;15;5;0;0,75
HRAD;Maio;2023;IV;15 a 19;25;8;2;2
HRAD;Maio;2023;V;20 a 24;40;2;1;0,8
HRAD;Maio;2023;VI;25 a 29;55;3;2;1,65
HRAD;Maio;2023;VII;30 a 34;75;0;0;0
HRAD;Maio;2023;VIII;> 34;85;0;0;0
HRAD;Junho;2023;I;0 a 4;4;0;0;0
HRAD;Junho;2023;II;5 a 9;8;0;0;0
HRAD;Junho;2023;III;10 a 14;15;4;0;0,6
HRAD;Junho;2023;IV;15 a 19;25;10;2;2,5
HRAD;Junho;2023;V;20 a 24;40;3;1;1,2
HRAD;Junho;2023;VI;25 a 29;55;1;1;0,55
HRAD;Junho;2023;VII;30 a 34;75;1;1;0,75
HRAD;Junho;2023;VIII;> 34;85;0;0;0
HRAD;Julho;2023;I;0 a 4;4;0;0;0
HRAD;Julho;2023;II;5 a 9;8;0;0;0
HRAD;Julho;2023;III;10 a 14;15;7;0;1,05
HRAD;Julho;2023;IV;15 a 19;25;10;2;2,5
HRAD;Julho;2023;V;20 a 24;40;3;0;1,2
HRAD;Julho;2023;VI;25 a 29;55;1;0;0,55
HRAD;Julho;2023;VII;30 a 34;75;1;1;0,75
HRAD;Julho;2023;VIII;> 34;85;0;0;0
HRAD;Agosto;2023;I;0 a 4;4;0;0;0
HRAD;Agosto;2023;II;5 a 9;8;2;0;0,16
HRAD;Agosto;2023;III;10 a 14;15;3;0;0,45
HRAD;Agosto;2023;IV;15 a 19;25;6;0;1,5
HRAD;Agosto;2023;V;20 a 24;40;7;1;2,8
HRAD;Agosto;2023;VI;25 a 29;55;2;1;1,1
HRAD;Agosto;2023;VII;30 a 34;75;2;2;1,5
HRAD;Agosto;2023;VIII;> 34;85;0;0;0
HRAD;Setembro;2023;I;0 a 4;4;0;0;0
HRAD;Setembro;2023;II;5 a 9;8;0;0;0
HRAD;Setembro;2023;III;10 a 14;15;5;0;0,75
HRAD;Setembro;2023;IV;15 a 19;25;9;1;2,25
HRAD;Setembro;2023;V;20 a 24;40;6;1;2,4
HRAD;Setembro;2023;VI;25 a 29;55;1;1;0,55
HRAD;Setembro;2023;VII;30 a 34;75;0;0;0
HRAD;Setembro;2023;VIII;> 34;85;0;0;0
HRBJA;Janeiro;2023;I;0 a 4;4;0;0;0
HRBJA;Janeiro;2023;II;5 a 9;8;1;0;0,08
HRBJA;Janeiro;2023;III;10 a 14;15;4;1;0,6
HRBJA;Janeiro;2023;IV;15 a 19;25;6;2;1,5
HRBJA;Janeiro;2023;V;20 a 24;40;8;4;3,2
HRBJA;Janeiro;2023;VI;25 a 29;55;0;0;0
HRBJA;Janeiro;2023;VII;30 a 34;75;0;0;0
HRBJA;Janeiro;2023;VIII;> 34;85;0;0;0
HRBJA;Fevereiro;2023;I;0 a 4;4;0;0;0
HRBJA;Fevereiro;2023;II;5 a 9;8;0;0;0
HRBJA;Fevereiro;2023;III;10 a 14;15;1;0;0,15
HRBJA;Fevereiro;2023;IV;15 a 19;25;7;2;1,75
HRBJA;Fevereiro;2023;V;20 a 24;40;5;2;2
HRBJA;Fevereiro;2023;VI;25 a 29;55;4;2;2,2
HRBJA;Fevereiro;2023;VII;30 a 34;75;0;0;0
HRBJA;Fevereiro;2023;VIII;> 34;85;2;2;1,7
HRBJA;Março;2023;I;0 a 4;4;0;0;0
HRBJA;Março;2023;II;5 a 9;8;0;0;0
HRBJA;Março;2023;III;10 a 14;15;5;2;0,75
HRBJA;Março;2023;IV;15 a 19;25;1;1;0,25
HRBJA;Março;2023;V;20 a 24;40;9;6;3,6
HRBJA;Março;2023;VI;25 a 29;55;2;2;1,1
HRBJA;Março;2023;VII;30 a 34;75;0;0;0
HRBJA;Março;2023;VIII;> 34;85;0;0;0
HRBJA;Abril;2023;I;0 a 4;4;0;0;0
HRBJA;Abril;2023;II;5 a 9;8;4;0;0,32
HRBJA;Abril;2023;III;10 a 14;15;1;0;0,15
HRBJA;Abril;2023;IV;15 a 19;25;1;0;0,25
HRBJA;Abril;2023;V;20 a 24;40;3;0;1,2
HRBJA;Abril;2023;VI;25 a 29;55;0;0;0
HRBJA;Abril;2023;VII;30 a 34;75;1;1;0,75
HRBJA;Abril;2023;VIII;> 34;85;1;1;0,85
HRBJA;Maio;2023;I;0 a 4;4;0;0;0
HRBJA;Maio;2023;II;5 a 9;8;0;0;0
HRBJA;Maio;2023;III;10 a 14;15;2;0;0,3
HRBJA;Maio;2023;IV;15 a 19;25;3;0;0,75
HRBJA;Maio;2023;V;20 a 24;40;5;1;2
HRBJA;Maio;2023;VI;25 a 29;55;0;0;0
HRBJA;Maio;2023;VII;30 a 34;75;2;1;1,5
HRBJA;Maio;2023;VIII;> 34;85;1;1;0,85
HRBJA;Junho;2023;I;0 a 4;4;0;0;0
HRBJA;Junho;2023;II;5 a 9;8;1;0;0,08
HRBJA;Junho;2023;III;10 a 14;15;1;1;0,15
HRBJA;Junho;2023;IV;15 a 19;25;5;0;1,25
HRBJA;Junho;2023;V;20 a 24;40;2;1;0,8
HRBJA;Junho;2023;VI;25 a 29;55;2;1;1,1
HRBJA;Junho;2023;VII;30 a 34;75;3;3;2,25
HRBJA;Junho;2023;VIII;> 34;85;1;1;0,85
HRBJA;Julho;2023;I;0 a 4;4;0;0;0
HRBJA;Julho;2023;II;5 a 9;8;3;0;0,24
HRBJA;Julho;2023;III;10 a 14;15;2;0;0,3
HRBJA;Julho;2023;IV;15 a 19;25;9;2;2,25
HRBJA;Julho;2023;V;20 a 24;40;4;1;1,6
HRBJA;Julho;2023;VI;25 a 29;55;3;2;1,65
HRBJA;Julho;2023;VII;30 a 34;75;0;0;0
